Uniform

cap - 1000
hash,1000,0.978568,1000,0.575683
hash,10000,4.72393,10000,5.02441
hash,100000,42.1283,100000,210.728
hash,1000000,403.808,1000000,46767.1
hash,10000000,4182.93,10000000,5675580
hash,100000000,44000.7,100000000,444048000.0

cap - 10000
hash,1000,1.06945,1000,0.842623
hash,10000,5.70487,10000,6.49321
hash,100000,46.3264,100000,54.3869
hash,1000000,437.963,1000000,4531.56
hash,10000000,4408.58,10000000,535180
hash,100000000,43676.1,100000000,42905300.0

cap - 100000
hash,1000,0.693186,1000,0.868017
hash,10000,4.89153,10000,5.86648
hash,100000,47.6985,100000,41.5144
hash,1000000,510.915,1000000,880.162
hash,10000000,5485.74,10000000,59126.4
hash,100000000,53075.8,100000000,4820530.0


Non Uniform

cap - 1000
hash,1000,0.600992,100,1.93532
hash,10000,5.46451,100,16.6449
hash,100000,37.9645,100,114.42
hash,1000000,284.901,100,1241.79

cap - 10000
hash,1000,0.521585,100,1.63879
hash,10000,4.87927,100,14.9644
hash,100000,42.699,100,110.274

cap - 100000
hash,1000,0.605364,100,1.251706
hash,10000,5.75412,100,13.28727
hash,100000,39.0927,100,121.1658

